죄 종,발생건수,검거건수,"발생대비
검거건수(%)",검거인원,법인체,범죄 분류
강력범죄 (소계),"6,169","5,914",95.9,"6,082",0,대분류 별 소계
폭력범죄 (소계),"57,338","49,326",86.0,"62,153",9,대분류 별 소계
지능범죄 (소계),"111,045","61,900",55.7,"64,191",166,대분류 별 소계
풍속범죄 (소계),"6,402","5,824",91.0,"9,285",0,대분류 별 소계
총 계,"375,985","287,202",76.4,"314,094","2,882",대분류
