죄종,발생건수,검거건수,"발생대비 검거건수(%)",검거인원,법인체
총 계,378908,278362,73.5,300766,2604
절도범죄,44229,29427,66.5,22691,4
특별경제범죄,22383,17981,80.3,19450,660
마약범죄,2070,1885,91.1,2434,3
보건범죄,2423,2355,97.2,3344,56
환경범죄,646,606,93.8,689,257
교통범죄,56082,54051,96.4,55245,379
노동범죄,85,73,85.9,111,13
안보범죄,56,49,87.5,110,2
선거범죄,101,65,64.4,113,1
병역범죄,2477,1862,75.2,1812,3
기타범죄,55271,47661,86.2,57264,1077
