죄 종,발생건수,검거건수,"발생대비 검거건수(%)",검거인원,법인체
강력범죄 (소계),6169,5914,95.9,5914,5914
폭력범죄 (소계),57338,49326,86.0,49326,49326
지능범죄 (소계),111045,61900,55.7,61900,61900
풍속범죄 (소계),6402,5824,91.0,5824,5824
총 계,375985,287202,76.4,287202,287202
