죄종,발생건수,검거건수,"발생대비 검거건수(%)",검거인원,법인체
강력범죄 (소계),6007,5661,94.2,5661,5661
폭력범죄 (소계),58076,49768,85.7,49768,49768
지능범죄 (소계),101714,53512,52.6,53512,53512
풍속범죄 (소계),6002,5033,83.9,5033,5033
총 계,350499,259391,74.0,259391,259391
