죄 종,발생건수,검거건수,"발생대비 검거건수(%)",검거인원,법인체
강력범죄 (소계),6364,5983,94.0,5983,5983
폭력범죄 (소계),59438,52296,88.0,52296,52296
지능범죄 (소계),111938,64768,57.9,64768,64768
지능범죄 (통화),130,12,9.2,12,12
풍속범죄 (소계),6452,5754,89.2,5754,5754
총 계,374936,293577,78.3,293577,293577
