지역,살인기수,살인미수등,강도,강간,유사강간,강제추행,기타강간강제추행등,방화,절도범죄,상해,폭행,체포감금,협박,약취유인,폭력행위등,공갈,손괴,직무유기,직권남용,증수뢰,통화,문서인장,유가증권인지,사기,횡령,배임,성풍속범죄,도박범죄,특별경제범죄,마약범죄,보건범죄,환경범죄,교통범죄,노동범죄,안보범죄,선거범죄,병역범죄,기타범죄
경기 시흥,1,2,15,69,10,145,7,11,1769,296,1844,10,261,5,84,51,814,6,4,2,3,102,0,2727,584,26,104,53,545,94,127,39,5403,4,0,0,113,2126
경기 안산,2,8,13,90,16,261,4,22,2971,452,2917,19,393,5,157,58,1102,5,4,1,5,181,2,4367,997,40,229,103,792,111,196,12,6376,6,5,2,183,3016
경기 안성,3,2,5,15,2,53,0,6,651,147,681,5,97,0,18,11,233,1,1,1,4,36,0,940,173,12,46,18,138,42,46,3,1823,1,0,12,97,990
경기 안양,1,4,7,39,7,162,2,12,1745,289,1792,8,218,3,97,85,590,2,10,1,10,103,3,2785,745,36,164,139,596,82,120,4,2738,6,1,2,156,2004
경기 양주,3,2,1,13,2,56,1,4,465,133,671,4,112,2,26,7,230,1,0,0,3,28,0,911,189,18,41,22,184,24,39,80,1980,3,0,1,96,943
경기 여주,0,0,13,11,1,47,1,2,420,88,324,4,55,2,14,18,128,1,5,1,0,26,1,603,82,8,24,11,92,38,18,7,1201,2,0,2,20,427
경기 오산,3,0,7,22,6,86,1,8,927,165,955,7,145,3,41,28,333,2,2,1,0,28,0,949,209,10,60,17,175,31,67,28,1878,2,0,1,74,995
경기 용인,3,6,7,55,11,205,2,11,2345,249,2022,22,324,6,80,71,895,4,5,1,5,153,4,4007,852,97,198,77,602,59,130,100,5910,3,1,0,166,2850
경기 의왕,1,0,0,3,3,26,1,2,277,51,269,1,47,1,10,4,87,2,1,1,0,17,0,620,98,10,36,11,138,17,8,3,969,3,0,0,21,376
경기 의정부,3,2,4,57,9,158,6,17,1604,250,2227,19,214,3,87,28,637,1,3,2,6,93,3,2549,687,30,134,64,450,123,86,10,2776,1,0,0,194,1746
경기 이천,1,1,1,20,4,85,0,6,829,149,861,3,126,1,50,11,358,2,1,2,2,34,1,1297,181,13,43,28,251,28,41,58,2165,2,0,11,88,1036
경기 파주,0,5,4,39,9,91,2,9,939,265,986,14,160,4,58,31,450,3,5,0,5,89,1,2707,483,32,74,37,366,32,87,108,3133,7,5,1,193,1523
경기 평택,3,5,12,37,7,154,3,25,2185,556,2356,27,316,3,114,50,922,2,11,2,27,105,1,4009,592,53,96,58,700,84,154,53,6491,9,0,7,133,4138
경기 포천,2,8,4,16,3,47,2,5,523,157,501,8,88,2,42,12,246,1,0,1,1,38,1,1121,154,20,27,30,202,105,20,170,1811,4,0,5,76,807
경기 하남,0,0,1,12,3,48,0,3,737,78,581,3,95,2,21,9,214,2,3,1,2,15,0,1016,245,9,48,41,195,24,47,34,1611,1,0,0,59,738
경기 화성,3,11,7,47,9,147,1,18,2151,414,2465,28,268,4,127,53,894,3,5,2,4,95,1,3494,659,54,146,67,676,124,197,315,5792,12,1,2,184,3254
강원 강릉,1,2,4,23,4,76,0,11,726,254,671,10,75,2,39,24,314,4,5,1,3,49,0,1034,185,16,37,11,162,26,124,24,1615,4,0,5,14,1306
강원 동해,0,1,2,10,0,25,0,1,171,120,243,1,34,0,32,3,123,1,2,0,0,11,0,294,31,10,7,11,73,9,23,16,572,3,0,2,42,375
강원 삼척,0,0,0,9,2,16,0,1,127,91,228,1,38,2,18,12,84,0,0,0,0,8,0,314,44,1,12,5,52,11,10,14,584,0,0,6,2,266
강원 속초,3,0,2,12,0,20,0,1,287,105,368,1,57,0,20,14,129,1,0,1,1,22,0,528,80,8,22,15,125,3,66,12,677,1,0,4,9,414
강원 원주,1,0,8,51,11,121,0,5,1302,329,789,8,141,4,60,26,439,3,2,0,3,88,0,2158,268,36,78,138,352,87,114,27,3135,1,0,2,60,1508
강원 춘천,0,5,3,17,5,78,2,8,879,281,672,5,111,1,58,27,311,5,13,0,7,60,0,1342,182,13,51,108,212,33,33,24,2405,0,0,1,46,1131
강원 태백,0,0,4,9,2,15,0,1,90,58,128,4,26,0,9,2,68,0,1,0,1,8,0,287,27,2,3,4,33,3,15,3,364,0,0,1,2,195
충북 제천,0,3,4,8,6,38,1,9,386,101,275,6,53,0,11,7,135,0,1,0,1,18,0,723,82,9,19,11,73,18,24,6,1210,3,0,0,17,425
충북 청주,4,10,22,83,10,260,7,22,3429,693,2291,21,374,6,122,95,1084,9,10,3,6,199,1,4646,612,29,208,105,701,104,88,10,7361,11,1,9,190,3064
충북 충주,1,4,2,17,3,50,3,10,833,165,396,2,84,1,28,19,264,4,5,2,2,53,0,1161,160,13,38,27,139,34,15,6,1984,2,0,2,45,719
충남 계룡,0,0,0,4,1,2,1,0,72,21,40,0,5,0,1,2,25,0,1,1,0,4,0,94,17,1,2,5,8,0,3,0,111,0,0,0,2,114
충남 공주,0,0,3,7,4,24,1,5,372,130,175,0,48,0,11,9,102,3,2,0,1,22,1,464,74,12,12,15,71,21,8,3,978,0,0,7,3,418
충남 논산,3,4,0,15,0,16,0,8,437,130,218,1,39,1,10,9,142,2,0,0,0,30,0,700,82,6,16,8,101,12,9,9,764,1,0,1,44,440
충남 당진,2,3,1,21,0,37,2,8,544,172,315,4,49,0,20,4,168,1,1,1,1,43,1,941,108,18,25,23,139,33,18,24,1508,1,0,2,31,763
충남 보령,0,1,0,23,2,36,1,3,338,112,190,3,34,1,21,10,113,2,1,0,6,27,0,603,85,12,19,13,85,22,82,10,1059,2,0,6,23,498
충남 서산,0,1,1,18,1,48,4,8,467,193,454,0,53,1,20,19,254,1,0,1,8,39,0,985,129,13,11,12,104,22,18,12,1427,4,0,1,32,719
충남 아산,2,5,12,21,3,86,4,9,1298,277,990,11,158,2,73,20,482,1,4,1,6,64,0,1436,284,14,53,44,251,38,33,9,2219,2,0,4,74,1116
충남 천안,3,10,13,83,7,190,4,18,3328,510,1613,23,270,2,109,45,852,5,1,4,16,125,1,4297,837,85,168,50,625,88,103,78,5233,3,1,2,241,2754
전북 군산,3,2,7,25,1,98,1,12,929,263,918,5,75,0,66,26,304,3,4,6,0,128,0,2075,192,16,53,112,215,14,79,12,1981,2,0,7,52,3765
전북 김제,0,1,0,5,3,16,1,4,219,62,206,0,26,0,9,4,81,2,1,1,3,24,0,366,47,8,10,11,43,6,5,6,761,1,0,5,10,252
전북 남원,2,1,2,6,0,21,1,2,205,61,177,2,25,0,8,2,77,0,2,0,0,12,0,398,39,5,6,14,48,2,12,5,560,0,0,15,9,278
전북 익산,8,3,2,25,2,71,1,7,1095,184,926,12,83,1,50,18,339,0,2,2,3,61,0,1485,187,19,41,35,214,12,37,76,2008,3,0,5,80,1006
전북 전주,4,8,10,84,8,218,4,11,2202,458,1707,8,191,1,145,69,409,2,8,2,3,158,2,3423,495,39,144,107,392,27,88,15,4350,1,2,6,108,2278
전북 정읍,1,0,1,10,1,29,2,5,363,95,229,4,50,0,24,15,81,7,3,0,1,28,0,474,61,9,20,11,62,10,27,4,798,2,0,2,7,357
전남 광양,0,1,0,14,3,37,2,4,374,173,339,3,48,0,19,15,161,1,1,0,0,25,0,577,117,11,23,15,101,7,38,17,1431,1,0,4,29,574
전남 나주,1,2,4,17,2,26,1,4,369,54,206,5,31,0,10,8,101,0,1,2,1,28,1,436,87,9,17,12,85,6,27,16,963,0,0,8,13,360
전남 목포,0,3,8,45,6,105,2,13,1162,293,950,7,148,5,100,18,439,3,6,4,2,70,0,1333,269,15,44,48,296,10,61,21,2576,9,1,2,41,1240
전남 순천,1,3,1,31,3,88,3,5,782,320,842,5,127,0,55,17,323,3,5,2,0,58,0,1204,260,18,35,24,242,29,24,2,2770,23,0,0,35,996
전남 여수,2,0,3,20,1,65,2,8,921,298,1081,8,165,0,54,30,388,5,2,0,1,59,0,1306,276,27,46,44,226,36,78,69,2740,5,0,8,35,5047
경북 경산,2,1,3,36,8,66,0,7,1085,215,882,9,131,0,47,12,358,1,2,0,2,44,0,1032,270,8,68,79,198,19,19,1,1778,0,2,4,47,860
경북 경주,2,1,5,27,2,63,3,8,1023,233,612,8,72,0,41,18,273,2,0,2,1,53,1,2638,275,8,44,22,169,43,50,75,2660,2,0,6,26,761
경북 구미,3,2,4,51,7,92,3,14,1530,300,846,11,129,4,63,74,511,2,5,0,4,71,0,3413,268,28,88,62,312,31,68,42,3555,0,1,11,134,1417
경북 김천,0,2,2,17,2,30,0,4,416,109,416,4,90,0,26,27,153,3,4,2,0,20,0,614,100,9,24,26,105,19,55,29,1228,1,0,0,19,440
경북 문경,1,0,0,9,2,18,3,4,169,79,178,3,28,0,8,7,64,0,4,0,0,19,0,267,37,4,8,10,35,16,12,2,541,0,0,6,3,240
경북 상주,0,2,0,10,2,27,0,3,287,103,190,0,35,0,11,2,87,0,4,0,0,16,0,393,39,3,14,8,51,23,15,20,794,2,0,12,5,321
경북 안동,1,1,1,12,2,37,3,7,459,160,416,3,81,0,13,12,165,10,4,1,7,43,0,861,111,6,31,50,132,37,19,13,1368,2,0,8,19,546
경북 영주,0,2,2,11,0,22,0,3,240,129,196,3,34,0,28,19,114,0,0,2,1,19,0,507,33,2,16,11,39,27,4,2,715,3,0,2,4,277
경북 영천,1,0,3,10,1,34,2,2,358,80,242,1,32,0,12,12,139,0,1,0,0,30,0,513,58,11,11,10,67,11,16,8,1146,2,1,3,5,327
경북 포항,3,2,4,51,5,108,7,11,2002,501,1308,9,142,0,134,48,629,2,0,1,4,72,1,3016,301,28,65,82,345,36,85,47,4542,11,4,7,96,2501
경남 거제,2,2,2,22,5,58,2,2,822,288,675,5,104,1,34,16,225,1,2,0,1,45,1,1397,228,19,41,48,365,38,53,32,1984,3,1,9,71,938
경남 김해,2,0,9,36,8,116,4,7,2205,484,1691,19,179,0,81,98,668,0,0,1,3,105,0,4316,513,49,86,60,492,123,144,123,4141,1,1,2,73,2380
경남 밀양,1,2,0,12,1,22,0,4,300,140,143,0,51,0,18,5,121,6,4,1,0,31,0,621,69,11,11,10,68,37,34,34,862,0,0,0,17,381
경남 사천,0,3,0,9,0,23,1,1,273,165,318,7,47,0,22,6,100,2,2,2,0,24,0,626,128,10,13,4,81,33,18,15,1016,1,0,5,7,846
경남 양산,1,3,6,25,4,61,2,9,1278,291,896,7,123,2,58,33,284,3,1,1,1,71,0,1899,216,20,39,13,321,39,67,18,3472,3,0,3,150,1099
경남 진주,2,2,3,28,8,74,3,5,1605,319,765,3,137,1,38,18,390,3,5,0,1,86,0,1856,205,32,57,35,322,68,108,26,1773,0,0,15,51,1063
경남 창원,8,10,10,92,11,257,6,19,3699,964,2763,15,327,7,146,102,1038,15,18,7,5,237,2,6456,834,88,209,95,996,181,255,86,6216,2,1,15,126,4709
경남 통영,0,3,4,8,2,34,4,3,466,267,374,1,56,0,37,12,122,0,3,1,1,34,1,1176,109,19,22,27,84,18,36,22,1262,1,0,8,21,2925
제주 서귀포,1,3,7,16,4,74,3,10,907,283,501,1,89,2,50,24,354,4,3,1,0,31,0,1143,201,21,39,25,172,4,40,22,1895,18,0,8,74,1453
제주 제주,7,9,14,83,3,216,6,20,2325,494,1849,25,346,3,120,62,944,3,9,1,5,116,2,3184,565,63,154,76,670,22,55,24,5147,37,0,4,121,3327
기타도시,1,2,5,15,2,23,2,0,31,27,51,2,62,1,6,130,10,4,3,0,5,160,2,7522,313,60,164,332,721,51,33,18,184,10,7,6,153,2514
도시이외,24,42,34,345,57,807,25,128,9419,3314,6697,84,1296,18,413,275,3155,80,63,44,26,798,6,15086,1953,744,438,629,2219,750,645,757,29603,485,3,194,586,24259
