지역,살인기수,살인미수등,강도,강간,유사강간,강제추행,기타강간강제추행등,방화,절도범죄,상해,폭행,체포감금,협박,약취유인,폭력행위등,공갈,손괴,직무유기,직권남용,증수뢰,통화,문서인장,유가증권인지,사기,횡령,배임,성풍속범죄,도박범죄,특별경제범죄,마약범죄,보건범죄,환경범죄,교통범죄,노동범죄,안보범죄,선거범죄,병역범죄,기타범죄
서울,45,89,133,1254,171,4981,52,252,42224,4598,32893,192,3803,60,1547,959,10636,143,201,60,418,2415,56,57563,16963,1038,3834,1059,12823,1884,3424,89,55273,96,102,27,2986,41566
부산,22,42,81,297,48,1111,15,100,14497,3450,10915,59,1450,16,629,343,3806,68,52,18,29,913,11,26061,3859,346,946,827,3877,716,1664,221,20433,30,5,20,576,21714
대구,14,27,31,215,39,696,11,62,9249,2233,6842,62,921,2,371,161,2795,21,21,6,23,561,5,14852,2595,134,580,417,2187,295,334,22,21012,20,2,22,417,8450
인천,20,28,60,327,46,1181,14,73,10134,1634,12212,117,1287,11,565,366,3471,18,17,7,127,612,8,16201,4161,167,896,495,3227,709,556,163,17749,27,2,13,981,15665
광주,11,5,27,185,24,453,6,42,4922,1013,5207,52,542,4,254,110,1501,17,18,6,11,316,1,7654,1556,72,303,167,1385,76,274,15,12747,5,3,15,315,4788
대전,7,11,25,173,30,492,16,48,5855,948,4723,33,660,5,226,142,1476,14,14,7,23,317,2,9171,1232,96,412,126,1233,118,188,16,11898,4,1,3,349,4953
울산,10,9,27,106,22,308,15,19,3215,1027,3087,37,384,2,194,75,1256,8,8,8,13,214,1,6786,801,101,210,321,951,79,107,43,9708,6,1,11,160,4798
세종,2,1,0,12,1,49,1,2,849,143,377,0,92,1,26,13,221,15,14,1,4,49,1,1352,280,19,48,18,158,31,17,2,1397,1,2,0,86,810
경기 고양,5,6,8,75,9,248,4,26,2399,390,2808,16,399,13,141,61,980,11,9,4,22,184,7,5489,1743,78,224,129,1045,114,302,49,6506,7,0,1,410,3981
경기 과천,0,1,0,0,0,18,0,1,190,23,123,1,23,0,4,3,36,0,5,1,2,13,0,228,101,8,11,17,40,4,25,3,511,1,0,0,13,273
경기 광명,1,0,5,24,6,93,3,5,1061,193,998,10,141,2,40,14,325,0,2,2,1,40,0,1504,309,18,69,32,240,29,90,1,2128,10,0,1,46,1114
경기 광주,0,1,5,18,3,66,2,7,764,142,1044,6,178,0,38,42,403,5,1,1,4,67,1,1669,280,32,59,97,266,36,86,30,2920,0,4,1,96,1403
경기 구리,1,0,3,19,1,84,2,8,831,143,944,8,82,0,46,15,337,4,1,0,4,43,0,1125,229,12,51,16,244,13,45,9,1783,3,0,0,78,799
경기 군포,1,3,2,20,5,55,2,4,654,98,708,6,89,0,33,17,228,0,3,1,3,31,0,1180,210,12,64,20,199,15,62,7,1045,3,0,2,43,729
경기 김포,6,4,1,28,3,87,1,4,977,178,1077,6,121,1,39,24,361,3,1,2,8,75,1,2381,479,23,54,82,390,26,62,11,3133,2,0,0,65,1466
경기 남양주,6,8,7,37,3,160,5,15,1504,255,1440,19,212,4,61,60,651,1,0,1,9,109,1,3030,598,27,108,52,425,44,160,78,3936,2,0,1,292,2200
경기 동두천,1,1,1,13,0,45,1,3,352,69,349,0,22,2,22,15,136,0,0,0,1,28,0,698,91,9,13,13,88,22,16,8,709,1,0,0,39,374
경기 부천,5,10,12,92,11,349,2,16,3706,393,2944,14,454,6,149,114,1176,3,5,4,11,150,1,6182,1166,56,203,111,880,76,178,86,5849,6,6,0,223,3458
경기 성남,2,2,13,92,8,295,7,17,3250,612,2765,21,399,2,135,66,919,4,5,4,25,180,1,5429,1221,64,297,169,1122,247,215,14,6724,6,2,0,232,3500
경기 수원,5,11,19,140,23,404,4,23,5180,629,4643,22,635,4,196,139,1603,8,16,7,22,237,2,8195,1561,69,431,312,1324,137,289,40,9810,10,0,3,348,5196
