지역,살인기수,살인미수등,강도,강간,유사강간,강제추행,기타강간강제추행등,방화,절도범죄,상해,폭행,체포감금,협박,약취유인,폭력행위등,공갈,손괴,직무유기,직권남용,증수뢰,통화,문서인장,유가증권인지,사기,횡령,배임,성풍속범죄,도박범죄,특별경제범죄,마약범죄,보건범죄,환경범죄,교통범죄,노동범죄,안보범죄,선거범죄,병역범죄,기타범죄
경북 포항,5,8,6,48,6,114,3,6,1702,520,1234,11,87,3,110,46,578,4,3,2,3,71,0,2941,261,34,110,75,388,33,83,54,5008,21,0,30,120,2785
경남 거제,2,3,3,30,12,73,5,8,795,305,508,5,89,1,38,16,202,0,2,1,0,53,0,1303,296,32,32,54,244,20,101,14,2080,8,0,5,91,2207
경남 김해,4,3,10,31,4,124,4,16,2408,542,1641,7,143,3,73,69,565,3,1,0,2,86,2,3048,478,48,93,121,438,142,149,95,4499,30,1,8,120,1971
경남 밀양,0,4,2,12,1,21,1,6,246,128,144,3,38,1,13,8,96,1,0,1,0,17,0,515,64,6,2,8,92,40,47,30,741,2,0,3,26,467
경남 사천,1,1,3,7,0,23,0,4,206,164,253,2,40,0,21,3,122,0,0,5,1,16,0,524,52,12,12,2,118,25,30,18,926,0,0,19,26,555
경남 양산,2,3,4,29,2,60,3,9,984,286,628,7,89,0,47,18,249,0,2,1,2,64,1,1841,215,30,48,16,322,30,60,6,2275,17,1,2,176,1128
경남 진주,4,2,5,31,5,85,0,7,1723,328,820,3,92,0,45,27,312,2,3,1,4,53,0,1710,160,20,47,19,347,80,76,15,1944,2,0,18,83,888
경남 창원,4,18,19,66,19,218,6,24,3377,986,2882,23,303,4,204,63,963,7,11,6,2,168,0,5522,766,69,188,82,835,126,274,161,6683,6,1,27,184,3728
경남 통영,0,3,3,8,0,31,1,214,412,270,376,2,45,0,37,12,163,3,3,0,0,492,1,930,128,10,25,28,122,17,33,30,1350,10,0,9,28,1480
제주 서귀포,3,2,1,25,4,64,3,8,858,331,588,3,86,0,53,20,387,2,3,1,1,27,1,971,180,10,32,20,155,3,68,15,2378,35,0,9,53,1240
제주 제주,5,6,9,78,14,193,4,13,2124,559,2041,19,284,3,103,54,861,2,6,7,7,672,1,3301,494,44,154,75,789,15,56,17,6417,35,0,32,107,3189
기타도시,0,2,4,10,1,24,1,0,49,26,46,0,40,1,7,50,10,2,2,2,4,124,1,4170,219,33,149,46,690,17,19,15,319,3,2,7,97,1577
도시이외,32,36,35,353,54,837,34,122,8442,3633,6403,64,1096,10,435,231,2854,68,57,47,52,1188,5,13634,1926,284,451,455,2017,620,660,1485,30914,77,4,412,626,20941
