지역,살인기수,살인미수등,강도,강간,유사강간,강제추행,기타강간강제추행등,방화,절도범죄,상해,폭행,체포감금,협박,약취유인,폭력행위등,공갈,손괴,직무유기,직권남용,증수뢰,통화,문서인장,유가증권인지,사기,횡령,배임,성풍속범죄,도박범죄,특별경제범죄,마약범죄,보건범죄,환경범죄,교통범죄,노동범죄,안보범죄,선거범죄,병역범죄,기타범죄
강원 춘천,0,0,2,29,6,77,1,3,841,180,536,9,111,0,32,36,296,4,2,1,6,62,0,1597,156,11,55,130,232,29,60,9,1810,1,4,1,8,1112
강원 태백,0,1,0,2,1,10,0,3,83,58,113,0,35,0,8,1,49,0,0,0,0,4,0,229,16,2,12,10,33,6,10,2,259,0,0,0,0,195
충북 제천,1,2,2,12,0,32,1,3,388,128,258,3,44,3,15,4,143,2,1,1,0,17,0,524,66,5,26,10,59,17,44,0,897,0,0,1,6,389
충북 청주,5,2,6,96,12,168,2,18,2973,661,1689,24,274,4,139,84,989,17,19,3,4,163,2,5156,639,28,223,93,524,90,148,2,5871,4,0,0,36,3101
충북 충주,1,0,2,27,1,48,0,2,636,104,424,3,62,1,20,33,241,5,5,1,13,29,0,1281,143,7,56,20,130,29,22,4,1558,0,3,0,5,615
충남 계룡,0,1,0,4,0,4,0,2,65,19,32,1,5,0,6,2,30,0,0,0,0,5,0,71,13,0,3,0,9,3,2,0,96,0,0,0,0,55
충남 공주,2,0,2,13,4,24,1,2,278,92,121,2,47,2,12,16,95,1,1,0,2,13,0,532,65,9,21,7,53,15,17,4,766,0,3,0,2,378
충남 논산,0,0,1,9,3,30,1,5,421,86,129,1,34,0,21,14,150,3,3,3,0,33,1,617,81,7,17,3,52,21,19,0,567,5,0,2,15,450
충남 당진,1,2,1,14,0,29,0,6,506,155,362,5,81,0,35,13,184,1,1,0,0,26,0,631,100,11,35,13,89,33,35,128,1383,3,0,0,10,563
충남 보령,1,0,1,19,1,26,0,3,272,85,182,2,37,1,22,16,96,0,0,0,1,14,0,376,73,4,24,11,89,29,112,8,704,0,1,0,1,710
충남 서산,0,1,1,23,3,57,2,7,541,133,318,5,77,2,15,22,252,7,1,2,0,46,0,820,124,13,34,9,109,18,56,15,1172,1,0,0,5,643
충남 아산,1,5,2,35,2,63,0,5,1132,190,580,10,153,2,64,37,357,4,4,0,6,53,0,1356,229,18,79,21,257,44,96,4,2109,1,0,0,8,965
충남 천안,2,9,10,74,9,189,3,14,2726,360,1130,16,249,2,104,68,799,6,6,5,10,92,0,3670,611,53,216,52,413,93,153,45,4929,5,3,0,27,2477
전북 군산,1,1,3,21,5,57,1,7,1055,166,681,10,101,1,50,18,316,4,5,3,0,177,0,1844,180,7,77,23,499,16,178,4,1715,2,0,0,10,3324
전북 김제,1,1,1,5,0,22,2,3,168,47,148,1,29,0,7,7,49,2,1,0,0,15,0,244,22,2,16,12,32,9,3,1,439,1,0,0,2,201
전북 남원,1,1,0,6,1,17,1,3,232,51,174,2,44,0,19,2,86,0,0,0,1,9,0,382,42,1,8,9,40,5,8,3,426,0,1,1,2,223
전북 익산,3,2,2,24,3,74,1,3,905,118,765,9,83,0,44,32,330,4,3,0,2,53,0,1756,187,16,69,28,169,24,46,9,1554,0,1,0,10,919
전북 전주,4,4,8,60,8,175,7,10,2111,327,1222,17,200,1,105,60,583,9,6,5,2,116,3,3709,438,39,195,42,314,23,123,21,3608,1,0,0,13,2387
전북 정읍,3,0,1,9,3,20,0,3,443,75,183,2,40,0,18,6,109,1,7,0,0,28,0,877,55,3,17,12,40,8,19,1,519,0,0,0,3,361
전남 광양,0,0,0,14,6,25,1,2,385,156,266,5,75,1,6,7,138,6,1,1,0,30,0,897,89,22,40,17,60,12,38,6,1043,0,0,0,3,666
전남 나주,2,2,0,17,1,18,1,2,399,58,208,3,63,1,23,15,130,2,3,1,0,32,0,449,83,9,22,8,63,18,20,13,692,0,0,0,3,373
전남 목포,1,2,2,41,2,113,3,8,1064,178,777,6,128,1,68,21,312,9,6,3,3,78,0,2170,277,27,105,74,224,32,108,18,2018,5,0,3,16,1459
전남 순천,2,2,1,46,4,60,0,5,909,195,638,9,126,0,63,21,335,7,11,5,1,47,0,1375,208,12,67,26,166,23,60,6,2037,6,1,9,7,886
전남 여수,3,3,1,35,10,76,0,3,885,220,563,5,142,0,50,37,368,3,10,0,2,52,0,1435,277,16,66,33,215,33,81,29,2378,3,0,2,12,1988
경북 경산,0,3,1,31,5,78,3,5,910,149,559,4,85,3,35,26,342,3,2,1,0,40,0,1202,204,11,74,15,157,21,42,0,1470,3,1,0,13,834
경북 경주,1,2,2,30,2,57,0,4,909,192,444,5,75,3,27,19,243,4,3,2,6,44,0,1649,221,12,39,19,165,45,36,68,1771,5,0,0,10,770
경북 구미,3,4,3,49,9,94,1,5,1699,234,488,10,124,4,59,68,439,9,7,1,1,78,0,2782,246,12,113,20,300,142,56,18,2999,1,0,2,28,1334
경북 김천,2,1,4,13,5,26,1,3,392,97,237,0,60,0,21,19,172,9,9,2,0,24,0,622,65,11,19,13,98,16,36,19,872,1,0,0,3,492
경북 문경,0,0,0,7,1,10,0,0,137,51,113,2,18,0,4,3,60,6,4,0,0,20,0,250,18,5,6,0,28,14,3,1,395,0,0,1,2,190
경북 상주,0,0,0,10,3,12,0,1,275,78,105,1,34,1,7,6,88,3,1,0,0,19,0,354,42,1,9,6,25,21,20,10,649,0,0,1,3,270
경북 안동,0,1,1,20,1,48,0,2,415,108,324,2,47,0,21,17,172,7,1,3,5,26,0,789,86,13,54,32,102,34,19,16,1001,1,1,0,3,520
경북 영주,1,0,1,7,1,25,1,0,182,101,146,4,33,0,16,6,93,0,3,0,0,16,0,441,30,2,20,11,51,11,16,1,627,0,0,0,5,262
경북 영천,0,0,1,11,2,21,1,2,359,104,178,1,31,2,9,6,132,2,1,0,0,13,0,419,50,5,15,8,44,11,23,1,944,1,0,0,1,360
경북 포항,4,2,4,62,7,128,3,9,2162,384,815,14,117,5,111,40,527,7,4,2,7,64,0,2510,254,12,112,33,335,31,107,52,3500,6,0,0,9,3730
경남 거제,2,5,1,20,10,58,3,3,763,176,523,4,104,0,34,18,198,2,1,0,0,55,0,1543,165,18,46,19,200,19,95,19,1467,2,1,0,10,1039
경남 김해,2,2,8,40,8,106,2,10,2573,422,1247,15,197,1,53,74,530,3,1,0,1,128,0,4017,404,35,147,24,473,152,184,241,3444,6,4,1,17,2151
경남 밀양,1,0,0,7,0,16,5,4,249,85,114,0,57,0,16,5,96,3,2,0,1,19,0,581,32,2,18,5,54,18,33,52,728,1,0,0,4,374
경남 사천,2,1,0,11,3,21,0,3,365,120,169,2,42,0,15,3,92,2,0,0,2,73,0,722,68,13,18,2,76,19,16,25,821,2,0,0,8,2724
경남 양산,1,2,4,17,2,72,1,9,1067,201,744,8,131,1,52,40,360,5,4,2,4,75,0,2645,221,14,83,13,233,47,120,14,2280,2,0,1,11,1213
경남 진주,3,3,11,23,3,63,3,5,1857,292,797,11,191,1,49,33,359,14,10,1,4,67,0,2063,163,21,83,20,227,36,108,35,1551,2,0,0,9,1110
경남 창원,3,8,5,87,13,237,5,25,3386,724,2040,15,333,2,142,122,1069,21,13,3,2,202,0,6214,706,63,260,69,758,137,241,98,4945,22,0,1,40,4813
경남 통영,1,0,0,7,5,30,0,5,412,190,306,1,57,1,30,9,142,5,4,2,0,32,0,696,77,4,24,19,70,18,55,36,1019,1,0,0,8,1834
제주 서귀포,2,1,4,23,7,73,0,5,860,244,572,3,101,0,44,19,366,2,3,0,2,24,0,1015,242,8,45,27,167,7,29,9,1916,10,0,1,9,1198
제주 제주,4,11,8,89,12,199,2,11,2194,428,1855,10,415,4,106,66,879,7,8,4,2,152,0,3394,605,43,195,51,564,28,145,11,4266,44,1,1,18,3033
기타도시,2,1,1,13,0,21,1,0,38,15,37,2,74,0,25,210,15,15,6,3,3,359,0,13745,496,86,416,189,1083,70,78,31,204,3,6,9,68,4379
도시이외,29,30,29,298,48,781,29,117,8658,2792,5750,72,1325,9,345,274,3381,101,69,20,14,874,3,13955,1750,257,569,385,1718,564,818,736,24503,35,14,28,114,23339
