지역,살인기수,살인미수등,강도,강간,유사강간,강제추행,기타강간강제추행등,방화,절도범죄,상해,폭행,체포감금,협박,약취유인,폭력행위등,공갈,손괴,직무유기,직권남용,증수뢰,통화,문서인장,유가증권인지,사기,횡령,배임,성풍속범죄,도박범죄,특별경제범죄,마약범죄,보건범죄,환경범죄,교통범죄,노동범죄,안보범죄,선거범죄,병역범죄,기타범죄
서울,47,76,122,1134,180,3553,39,186,33529,3153,23324,233,3806,54,932,881,9365,221,238,50,125,1925,26,48352,13188,713,4180,885,8877,2275,4573,30,43206,78,98,129,308,42198
부산,15,30,51,321,55,936,19,54,12667,2652,7711,65,1374,12,483,326,3506,108,103,18,22,818,3,25516,3426,235,1135,493,3193,585,2214,312,16160,12,5,31,86,20985
대구,11,13,23,220,33,560,11,54,9306,1687,5361,40,895,4,272,163,2580,24,26,4,9,442,1,15076,2288,109,697,174,1762,258,762,10,16619,22,4,4,90,8181
인천,21,21,34,345,56,893,12,57,8175,1675,7856,95,1273,17,456,485,3126,37,28,170,16,490,6,14870,3651,155,1227,269,2511,610,959,90,14459,9,11,2,166,16256
광주,5,4,13,148,24,367,4,22,4884,750,3592,50,457,8,195,102,1463,23,16,8,7,273,0,7275,1496,64,387,107,1047,156,312,5,11121,6,3,3,56,4750
대전,11,8,9,164,27,447,9,39,5044,816,3788,35,626,9,156,152,1557,32,33,8,7,244,1,9063,1215,104,542,139,1124,96,251,17,8963,12,4,2,44,4913
울산,8,7,10,120,18,285,5,27,3155,794,2501,28,403,5,185,60,1077,19,15,5,3,327,1,6073,732,344,340,197,787,68,252,30,7570,2,5,6,26,5525
세종,1,3,1,22,4,50,1,2,1043,138,315,5,111,3,19,30,246,22,14,2,0,43,0,1117,187,25,81,14,128,40,56,3,1220,2,0,1,7,965
경기 고양,6,7,2,67,11,206,3,9,2090,317,2171,25,443,3,117,67,872,7,1,8,6,202,0,5681,1391,59,276,52,764,93,294,35,5229,3,1,1,34,3767
경기 과천,0,0,0,4,0,15,0,0,120,17,63,0,19,0,7,1,43,3,2,0,0,14,1,234,44,4,20,3,19,2,2,0,265,0,0,5,0,209
경기 광명,1,0,0,27,1,64,0,3,938,139,775,2,162,1,50,25,334,1,1,1,0,38,0,1389,362,12,128,17,203,25,71,4,1377,0,0,0,10,1102
경기 광주,1,8,0,34,3,56,2,10,945,141,1113,5,222,1,30,26,413,4,7,0,3,58,1,1713,300,23,86,27,266,42,113,53,3202,2,5,1,7,1358
경기 구리,1,1,1,16,4,36,3,0,482,85,362,7,87,0,32,8,158,4,2,1,3,25,0,869,220,5,66,15,142,18,74,8,1463,0,1,1,8,593
경기 군포,0,1,0,21,4,42,1,5,663,75,500,2,75,1,14,16,262,0,4,1,1,24,0,1135,260,9,107,9,197,20,48,0,900,2,0,0,5,830
경기 김포,1,3,7,34,2,102,1,6,1392,164,1177,7,200,4,25,30,472,4,1,2,0,71,0,2363,622,19,111,20,333,84,85,6,3335,1,0,0,7,1955
경기 남양주,3,4,5,37,5,114,3,12,1288,260,1140,14,222,6,74,48,527,4,5,5,6,102,0,3149,520,30,179,30,373,41,116,57,3402,1,0,3,22,2048
경기 동두천,0,0,1,14,2,24,0,1,251,55,230,4,53,0,22,9,107,6,0,0,2,15,0,539,80,16,34,101,76,28,23,6,499,0,0,0,1,365
경기 부천,3,7,6,75,14,249,2,6,3030,334,2322,15,404,8,119,121,1101,14,10,3,10,136,1,5703,1105,31,327,67,803,140,327,7,5423,6,1,1,24,3560
경기 성남,5,8,11,93,10,255,2,22,2697,396,1899,15,375,6,80,62,689,10,9,5,6,132,2,4463,923,48,337,129,819,109,390,8,5434,4,1,7,28,4192
경기 수원,5,10,7,151,30,328,6,28,4201,396,2908,31,533,2,123,148,1508,8,17,2,7,195,2,6125,1262,65,570,1345,916,194,377,16,7580,4,3,3,54,4900
경기 시흥,0,4,2,62,8,164,3,12,1854,206,1413,5,348,2,61,70,679,7,6,2,3,102,1,3691,477,30,206,38,483,111,177,122,4597,13,3,0,15,2031
경기 안산,4,7,6,113,12,211,1,17,2638,342,2216,20,389,1,138,73,988,5,9,4,4,156,2,4303,720,45,380,48,658,102,316,42,5930,6,1,0,29,3168
경기 안성,0,2,2,17,1,60,0,6,709,130,545,6,113,2,19,18,296,4,1,1,2,42,0,896,207,17,33,17,118,39,116,4,1752,0,2,0,5,971
경기 안양,1,4,4,52,5,132,1,9,1461,223,1182,6,224,5,84,43,588,6,9,2,4,70,0,2404,683,20,222,160,435,59,179,1,2214,0,1,0,13,1612
경기 양주,0,2,2,18,1,48,1,6,515,74,496,5,85,3,18,20,254,6,5,0,0,60,1,1012,195,13,52,16,171,38,57,80,1395,2,0,0,3,973
경기 여주,0,1,0,30,0,21,0,3,318,78,224,6,71,1,10,12,170,2,3,0,0,23,0,678,87,4,23,11,56,52,14,7,926,9,0,3,5,424
경기 오산,1,3,0,28,4,71,0,2,903,146,652,6,115,2,28,25,294,4,2,0,1,19,0,1330,211,4,91,16,169,45,43,11,1677,0,1,0,10,963
경기 용인,2,6,7,48,11,194,6,12,2242,217,1406,12,306,3,60,78,783,5,1,1,4,139,1,3852,696,72,245,34,519,74,175,133,5453,1,1,0,28,3610
경기 의왕,0,0,0,7,1,20,0,0,172,40,198,2,54,0,2,10,79,3,8,2,0,27,1,554,65,7,24,13,81,9,17,2,808,1,0,0,5,388
경기 의정부,0,2,6,51,13,124,1,13,1183,204,1529,8,193,3,57,80,617,3,4,3,6,97,0,2989,754,16,215,76,353,93,84,9,2285,3,3,0,19,1716
경기 이천,1,0,0,20,1,61,0,4,600,111,663,0,105,1,44,11,302,2,4,0,1,31,0,1574,164,9,67,15,137,49,45,45,1797,2,0,1,10,904
경기 파주,3,6,2,30,4,62,0,19,1093,139,919,11,178,4,56,33,477,1,1,2,0,110,2,2319,454,19,93,17,320,30,57,111,2963,4,3,0,13,1467
경기 평택,3,9,6,66,9,181,2,18,1987,398,1643,15,343,3,73,52,864,2,8,0,4,128,1,4547,542,52,157,37,494,159,139,108,5715,1,0,0,30,6315
경기 포천,4,1,1,18,2,30,0,1,333,120,317,3,76,1,19,13,188,4,5,2,0,36,0,823,110,15,30,11,112,57,16,90,1355,0,0,0,6,700
경기 하남,0,1,0,15,4,47,0,2,721,58,555,7,94,0,42,36,246,1,5,1,0,28,0,1204,412,10,79,18,181,19,70,32,1600,2,1,0,6,838
경기 화성,2,5,9,54,8,177,6,15,2040,290,1968,17,375,3,78,78,770,8,7,4,3,112,0,3633,556,43,216,56,641,112,163,286,5195,6,3,1,15,2920
강원 강릉,3,1,6,19,6,63,0,3,732,158,462,4,62,0,36,14,277,1,5,2,0,23,0,842,180,13,38,8,130,17,50,9,1369,3,0,2,11,2653
강원 동해,1,0,0,13,0,24,0,2,226,82,226,5,31,0,19,6,129,4,2,0,0,7,0,262,34,2,9,15,52,7,14,7,523,0,0,0,4,267
강원 삼척,0,1,1,9,4,15,0,0,178,36,181,0,37,0,5,12,87,0,1,0,0,12,0,233,39,2,16,3,43,0,11,7,417,0,0,0,0,460
강원 속초,0,3,1,9,1,20,1,1,267,99,280,4,66,0,18,6,123,3,1,0,0,23,0,492,64,9,18,19,96,1,46,14,684,0,0,1,1,420
강원 원주,2,1,0,27,4,65,4,8,1057,229,697,9,162,3,59,26,379,8,4,3,4,55,0,2126,180,24,77,27,320,40,110,14,2630,1,0,1,15,1221
