죄 종,발생건수,검거건수,"발생대비
검거건수(%)",검거인원,법인체,범죄 분류
살인기수,83,81,97.6,86,0,소분류
살인미수등,144,139,96.5,144,0,소분류
강도,149,148,99.3,208,0,소분류
강간,"1,343","1,261",93.9,"1,321",0,소분류
유사강간,224,223,99.6,223,0,소분류
강제추행,"4,523","4,236",93.7,"4,333",0,소분류
기타 강간/강제추행등,51,56,109.8,61,0,소분류
방화,280,254,90.7,260,0,소분류
상해,"5,814","5,681",97.7,"6,959",0,소분류
폭행,"30,519","29,554",96.8,"38,363",1,소분류
체포/감금,278,265,95.3,366,0,소분류
협박,"6,384","6,134",96.1,"6,561",0,소분류
약취/유인,92,82,89.1,124,0,소분류
폭력행위등,"1,651","1,602",97.0,"5,747",0,소분류
공갈,"1,940",838,43.2,967,0,소분류
손괴,"13,567","9,038",66.6,"9,335",4,소분류
직무유기,359,172,47.9,303,2,소분류
직권남용,677,202,29.8,466,0,소분류
증수뢰,57,54,94.7,125,0,소분류
통화,135,23,17.0,18,0,소분류
문서/인장,"3,109","2,439",78.4,"3,306",9,소분류
유가증권인지,12,10,83.3,14,0,소분류
사기,"88,811","51,441",57.9,"48,038",99,소분류
횡령,"16,553","7,899",47.7,"8,517",9,소분류
배임,873,805,92.2,"1,439",8,소분류
성풍속범죄,"5,179","4,495",86.8,"4,715",0,소분류
도박범죄,"1,524","1,491",97.8,"3,501",0,소분류
