죄 종,발생건수,검거건수,"발생대비
검거건수(%)",검거인원,법인체,범죄 분류
절도범죄,"53,383","30,613",57.3,"24,987",3,대분류
특별경제범죄,"17,085","15,492",90.7,"16,819",633,대분류
마약범죄,"3,149","2,968",94.3,"3,890",4,대분류
보건범죄,"2,506","2,523",100.7,"3,511",80,대분류
환경범죄,702,678,96.6,758,312,대분류
교통범죄,"59,449","58,069",97.7,"59,120",445,대분류
노동범죄,105,108,102.9,176,25,대분류
안보범죄,79,71,89.9,223,0,대분류
선거범죄,48,48,100.0,82,0,대분류
병역범죄,"2,579","2,210",85.7,"2,181",4,대분류
기타범죄,"55,946","51,458",92.0,"60,636","1,201",대분류
