죄 종,발생건수,검거건수,"발생대비
검거건수(%)",검거인원,법인체,범죄 분류
강력범죄 (소 계),"6,007","5,661",94.2,"6,055",1,대분류 별 소계
폭력범죄 (소 계),"58,076","49,768",85.7,"65,998",11,대분류 별 소계
지능범죄 (소 계),"101,714","53,512",52.6,"56,429",99,대분류 별 소계
풍속범죄 (소 계),"6,002","5,033",83.9,"7,335",0,대분류 별 소계
총 계,"350,499","259,391",74.0,"300,653","2,849",대분류
