죄 종,발생건수,검거건수,"발생대비
검거건수(%)",검거인원,법인체,범죄 분류
절도범죄,"44,061","27,315",62.0,"22,797",2,대분류
특별경제범죄,"12,154","9,690",79.7,"13,781",723,대분류
마약범죄,"1,763","1,676",95.1,"2,213",4,대분류
보건범죄,"2,834","2,680",94.6,"5,688",70,대분류
환경범죄,692,641,92.6,737,262,대분류
교통범죄,"57,158","55,098",96.4,"56,789",616,대분류
노동범죄,121,107,88.4,172,13,대분류
안보범죄,49,23,46.9,95,0,대분류
선거범죄,110,93,84.5,139,0,대분류
병역범죄,"1,988","1,523",76.6,"1,552",6,대분류
기타범죄,"57,770","46,571",80.6,"60,873","1,042",대분류
