죄 종,발생건수,검거건수,"발생대비
검거건수(%)",검거인원,법인체,범죄 분류
강력범죄 (소계),"6,797","6,398",94.1,"6,636",0,대분류 별 소계
폭력범죄 (소계),"60,245","53,194",88.3,"68,422",5,대분류 별 소계
지능범죄 (소계),"110,586","63,045",57.0,"62,226",127,대분류 별 소계
풍속범죄 (소계),"6,703","5,986",89.3,"8,216",0,대분류 별 소계
총 계,"377,271","296,297",78.5,"322,303","2,913",대분류
