죄 종,발생건수,검거건수,"발생대비 검거건수(%)",검거인원,법인체
절도범죄,53383,30613,57.3,30613,30613
특별경제범죄,17085,15492,90.7,15492,15492
마약범죄,3149,2968,94.3,2968,2968
보건범죄,2506,2523,100.7,2523,2523
환경범죄,702,678,96.6,678,678
교통범죄,59449,58069,97.7,58069,58069
노동범죄,105,108,102.9,108,108
안보범죄,79,71,89.9,71,71
선거범죄,48,48,100.0,48,48
병역범죄,2579,2210,85.7,2210,2210
기타범죄,55946,51458,92.0,51458,51458
살인기수,69,71,102.9,71,71
살인미수등,140,122,87.1,122,122
강도,136,131,96.3,131,131
강간,1314,1301,99.0,1301,1301
유사강간,233,227,97.4,227,227
강제추행,3991,3796,95.1,3796,3796
기타 강간/강제추행등,41,40,97.6,40,40
방화,245,226,92.2,226,226
상해,5316,5159,97.0,5159,5159
폭행,28538,27788,97.4,27788,27788
체포/감금,214,201,93.9,201,201
협박,6008,5790,96.4,5790,5790
약취/유인,76,76,100.0,76,76
폭력행위등,1421,1349,94.9,1349,1349
공갈,1689,621,36.8,621,621
손괴,14076,8342,59.3,8342,8342
직무유기,297,204,68.7,204,204
직권남용,516,275,53.3,275,275
증수뢰,67,82,122.4,82,82
통화,102,9,8.8,9,9
문서/인장,3059,2494,81.5,2494,2494
유가증권인지,12,9,75.0,9,9
사기,88651,49815,56.2,49815,49815
횡령,17410,8077,46.4,8077,8077
배임,931,935,100.4,935,935
성풍속범죄,4607,4084,88.6,4084,4084
도박범죄,1795,1740,96.9,1740,1740
강력범죄 (소계),6169,5914,95.9,5914,5914
폭력범죄 (소계),57338,49326,86.0,49326,49326
지능범죄 (소계),111045,61900,55.7,61900,61900
풍속범죄 (소계),6402,5824,91.0,5824,5824
총 계,375985,287202,76.4,287202,287202
