죄 종,발생건수,검거건수,"발생대비 검거건수(%)",검거인원,법인체
절도범죄,44061,27315,62.0,27315,27315
특별경제범죄,12154,9690,79.7,9690,9690
마약범죄,1763,1676,95.1,1676,1676
보건범죄,2834,2680,94.6,2680,2680
환경범죄,692,641,92.6,641,641
교통범죄,57158,55098,96.4,55098,55098
노동범죄,121,107,88.4,107,107
안보범죄,49,23,46.9,23,23
선거범죄,110,93,84.5,93,93
병역범죄,1988,1523,76.6,1523,1523
기타범죄,57770,46571,80.6,46571,46571
살인기수,56,56,100.0,56,56
살인미수등,95,91,95.8,91,91
강도,147,151,102.7,151,151
강간,1298,1227,94.5,1227,1227
유사강간,223,216,96.9,216,216
강제추행,3800,3575,94.1,3575,3575
기타 강간/강제추행등,42,44,104.8,44,44
방화,346,301,87.0,301,301
상해,5981,5798,96.9,5798,5798
폭행,29976,28280,94.3,28280,28280
체포/감금,242,230,95.0,230,230
협박,5148,4842,94.1,4842,4842
약취/유인,82,72,87.8,72,72
폭력행위등,1744,1651,94.7,1651,1651
공갈,1630,628,38.5,628,628
손괴,13273,8267,62.3,8267,8267
직무유기,342,64,18.7,64,64
직권남용,389,73,18.8,73,73
증수뢰,83,60,72.3,60,60
통화,117,11,9.4,11,11
문서/인장,2826,2036,72.0,2036,2036
유가증권인지,19,16,84.2,16,16
사기,81344,43560,53.6,43560,43560
횡령,15767,7024,44.5,7024,7024
배임,827,668,80.8,668,668
성풍속범죄,5191,4262,82.1,4262,4262
도박범죄,811,771,95.1,771,771
강력범죄 (소 계),6007,5661,94.2,5661,5661
폭력범죄 (소 계),58076,49768,85.7,49768,49768
지능범죄 (소 계),101714,53512,52.6,53512,53512
풍속범죄 (소 계),6002,5033,83.9,5033,5033
총 계,350499,259391,74.0,259391,259391
