죄 종,발생건수,검거건수,"발생대비 검거건수(%)",검거인원,법인체
절도범죄,48262,33990,70.4,33990,33990
특별경제범죄,13787,11946,86.6,11946,11946
마약범죄,4901,4573,93.3,4573,4573
보건범죄,2975,2863,96.2,2863,2863
환경범죄,834,767,92.0,767,767
교통범죄,59893,58129,97.1,58129,58129
노동범죄,151,134,88.7,134,134
안보범죄,65,43,66.2,43,43
선거범죄,335,324,96.7,324,324
병역범죄,1650,1327,80.4,1327,1327
기타범죄,57891,50680,87.5,50680,50680
